Crop Name,Crop Disease,Pathogen,Home Remedy,Chemical Recommendation
Almonds,Shot Hole Disease,Wilsonomyces carpophilus,Prune infected twigs in winter. Avoid overhead irrigation to keep foliage dry.,Dormant season spray with Copper-based fungicides or Captan.
Almonds,Almond Rust,Tranzschelia discolor,Prune to improve air circulation. Clean up fallen leaves and debris. Avoid nitrogen-heavy fertilizer.,Preventative sprays with fungicides like Myclobutanil or Propiconazole.
Almonds,Verticillium Wilt,Verticillium dahliae,Practice crop rotation with non-susceptible plants. Solarize soil in summer to reduce pathogen levels.,Soil fumigation with chloropicrin or metam sodium before planting (commercial).
Amaranthus (Keerai),Leaf Spot,Cercospora spp.,Remove infected leaves promptly. Ensure good air circulation and avoid water splash on leaves.,Spray with Mancozeb 2.5 g/l or Copper Oxychloride 2.5 g/l.
Amla (Indian Gooseberry),Rust,Ravenelia emblicae,Prune and destroy affected plant parts. Maintain good orchard sanitation.,Spray with Wettable Sulphur (0.2%) or Mancozeb (0.2%).
Apple,Scab,Venturia inaequalis,Spray dormant trees with a lime-sulfur solution. Rake and destroy fallen leaves in autumn.,"Captan, Myclobutanil, or Thiophanate-methyl."
Apple,Black Rot,Botryosphaeria obtusa,Prune out cankered limbs and dead wood. Remove and destroy mummified fruit.,Spray with fungicides like Captan or Thiophanate-methyl.
Apple,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,Remove nearby cedar or juniper trees (alternate host). Rake and destroy fallen leaves.,Fungicides like Myclobutanil or Ferbam applied early in the season.
Apple,Powdery Mildew,Podosphaera leucotricha,Prune out infected shoots during dormancy. Increase air circulation. A spray of horticultural oil can be effective.,Fungicides containing Wettable Sulphur 0.2% or Carbendazim 0.1%.
Apple,Healthy,N/A,N/A,N/A
Arecanut,Foot Rot (Anabe Roga),Ganoderma lucidum,Remove and destroy the fruiting bodies (brackets) of the fungus. Isolate infected palms with trenches 2ft deep.,Soil drenching with Copper Oxychloride 0.3% or applying neem cake.
Arecanut,Mahali (Koleroga / Fruit Rot),Phytophthora arecae,Remove and destroy all fallen and infected nuts. Maintain drainage in the garden.,Prophylactic spray with 1% Bordeaux mixture before monsoon.
Banana,Panama Disease (Fusarium Wilt),Fusarium oxysporum f.sp. cubense,Remove and destroy infected plants. Apply lime to the soil. Use disease-free suckers from resistant varieties.,No effective chemical cure. Drenching pit with Carbendazim 0.1% before planting can be a preventative measure.
Banana,Black Sigatoka (Leaf Spot),Mycosphaerella fijiensis,Remove and destroy infected leaves (de-leafing). Ensure proper drainage and nutrition.,Spray Propiconazole 0.1% or Mancozeb 0.25% in rotation with mineral oil.
Banana,Bunchy Top Virus (BBTV),Banana bunchy top virus,Remove and destroy infected plants immediately. Control the aphid vector. Use virus-free tissue culture plantlets.,No chemical cure. Control aphids with Dimethoate or Imidacloprid.
Barley,Powdery Mildew,Blumeria graminis f.sp. hordei,Use resistant cultivars and practice crop rotation with non-cereal crops.,"Triazole and strobilurin fungicides (e.g., Propiconazole, Azoxystrobin)."
Barley,Stem Rust,Puccinia graminis,Use resistant varieties. Remove volunteer barley plants before the season.,Foliar fungicides like Propiconazole or Tebuconazole can be effective if applied early.
Beans,Anthracnose,Colletotrichum lindemuthianum,Use certified disease-free seed. Practice a 2-3 year crop rotation. Avoid working in fields when wet.,Spray with fungicides containing Chlorothalonil or Mancozeb.
Beetroot,Cercospora Leaf Spot,Cercospora beticola,Remove and destroy infected leaves. Practice crop rotation with non-host plants for 2-3 years.,Spray Mancozeb 1 kg/ha or Copper Oxychloride 1.25 kg/ha.
Bell Pepper (Capsicum),Bacterial Spot,Xanthomonas campestris,Use disease-free seeds. Remove and destroy infected plants. Spray with a copper-based bactericide.,Seed treatment with Streptocycline. Spray Copper Oxychloride 0.25% with Streptocycline 100 ppm.
Bell Pepper (Capsicum),Healthy,N/A,N/A,N/A
Betelvine,Foot Rot / Wilt,Phytophthora parasitica var. piperina,Ensure excellent drainage. Use disease-free planting material. Apply Trichoderma-enriched manure.,Drenching with 1% Bordeaux mixture or Metalaxyl + Mancozeb.
Black Gram (Urad),Yellow Mosaic Disease,Mungbean yellow mosaic virus,"Use resistant varieties (e.g., VBN 8). Control whitefly vector with neem oil spray.",Vector control using Thiamethoxam or Acetamiprid.
Black Pepper,Quick Wilt (Foot Rot),Phytophthora capsici,Ensure good drainage. Avoid injury to roots. Apply Trichoderma or Pseudomonas fluorescens enriched manure.,Drenching with 0.2% Metalaxyl + Mancozeb and spraying with 1% Bordeaux mixture.
Black Pepper,Pollu Disease (Anthracnose),Colletotrichum gloeosporioides,Prune vines for better aeration. Remove and destroy infected berries and leaves.,Spray with 1% Bordeaux mixture or Carbendazim 0.1%.
Blueberry,Healthy,N/A,N/A,N/A
Bottle Gourd,Downy Mildew,Pseudoperonospora cubensis,Provide good air circulation. Water at the base of the plant early in the day. Remove severely infected leaves.,Spray Mancozeb (0.25%) or a combination of Metalaxyl + Mancozeb.
Brinjal (Eggplant),Phomopsis Blight,Phomopsis vexans,Use certified healthy seeds and remove infected plant debris after harvest. Practice crop rotation.,Seed treatment with Thiram. Spray with Mancozeb 0.2%.
Brinjal (Eggplant),Little Leaf,Phytoplasma,Remove and destroy infected plants immediately. Control leafhopper vectors.,Vector control with insecticides like Dimethoate.
Cabbage,Black Rot,Xanthomonas campestris pv. campestris,Use disease-free seeds. Hot water seed treatment (50°C for 30 min). Practice 3-year crop rotation.,Seed treatment with Streptocycline. Spray Copper Oxychloride 0.25%.
Cabbage,Clubroot,Plasmodiophora brassicae,Improve soil drainage and raise soil pH to above 7.2 with lime. Practice long (7+ year) crop rotation.,No effective chemical cure. Applying lime to soil is the main strategy.
Cardamom,'Katte' or Mosaic Disease,Cardamom mosaic virus,Uproot and burn infected plants immediately to prevent spread. Control the aphid vector.,No chemical cure. Use insecticides like Dimethoate to manage aphid population.
Carrot,Alternaria Leaf Blight,Alternaria dauci,Mulch heavily to prevent soil splash. Water at the base of the plant. Rotate crops.,Spray Mancozeb 1 kg/ha or Copper Oxychloride 1.25 kg/ha.
Cashew,Tea Mosquito Bug Damage,Helopeltis antonii,Regular pruning to improve aeration. Use neem-based insecticides as a deterrent.,Spray with Lambda-cyhalothrin or Profenofos.
Cherry,Powdery Mildew,Podosphaera clandestina,Improve air circulation by pruning. Remove and destroy infected leaves and shoots.,"Spray with Wettable Sulfur, Myclobutanil, or Potassium Bicarbonate."
Cherry,Healthy,N/A,N/A,N/A
Chickpea (Gram),Fusarium Wilt,Fusarium oxysporum f.sp. ciceri,Use resistant varieties. Practice deep summer ploughing and 3-4 year crop rotation.,Seed treatment with Thiram + Carbendazim.
Chilli,Anthracnose (Fruit Rot),Colletotrichum capsici,Use disease-free seeds and provide proper spacing for air circulation. Remove and destroy infected fruits.,Spray with Mancozeb 0.25% or Captan 0.2%.
Citrus,Citrus Canker,Xanthomonas citri,Prune and destroy infected twigs and branches. Apply a copper-based spray before the rainy season.,Spray 1% Bordeaux mixture. Spray Streptocycline 500ppm + Copper Oxychloride 0.2%.
Citrus,Gummosis (Foot Rot),Phytophthora spp.,Scrape away affected bark and apply a Bordeaux paste. Ensure graft union is well above soil line.,Soil drench with Metalaxyl or Fosetyl-al.
Coconut,Bud Rot,Phytophthora palmivora,Cut and remove the infected top portion and burn it. Apply Bordeaux mixture paste to the wound.,Prophylactic spray of 1% Bordeaux mixture on surrounding trees.
Coconut,Tanjore Wilt,Ganoderma lucidum,Isolate infected palms with trenches. Apply neem cake (5 kg/palm) mixed with Trichoderma viride.,Soil drenching with Copper Oxychloride or Hexaconazole.
Coffee,Coffee Leaf Rust,Hemileia vastatrix,Maintain good plant nutrition. Prune to improve air circulation. Plant rust-resistant cultivars.,Spray 0.5% Bordeaux mixture or Triadimefon 0.04%.
Coriander,Powdery Mildew,Erysiphe polygoni,Ensure good air circulation by not overcrowding plants. Avoid overhead watering.,Dusting with Sulphur powder or spraying with Wettable Sulphur.
Corn (Maize),Gray Leaf Spot,Cercospora zeae-maydis,Ensure good field drainage and remove crop residue after harvest to reduce fungal survival.,"Pyraclostrobin, Fluxapyroxad, or Azoxystrobin."
Corn (Maize),Common Rust,Puccinia sorghi,Plant resistant hybrids. Manage volunteer corn plants before the season starts.,"Foliar fungicides like Propiconazole, Tebuconazole, or Pyraclostrobin."
Corn (Maize),Northern Leaf Blight,Exserohilum turcicum,Use resistant hybrids. Practice crop rotation and tillage to bury residue.,Foliar fungicides like Pyraclostrobin or Tebuconazole.
Corn (Maize),Healthy,N/A,N/A,N/A
Cotton,Fusarium Wilt,Fusarium oxysporum,Practice crop rotation with non-host plants like corn or sorghum. Apply farm yard manure with Trichoderma.,Seed treatment with Carbendazim. Soil drenching with Copper Oxychloride.
Cotton,Bacterial Blight,Xanthomonas citri pv. malvacearum,Use certified acid-delinted seeds. Remove and destroy infected plant debris.,Seed treatment with Streptocycline. Foliar sprays with Copper Oxychloride.
Cucumber,Downy Mildew,Pseudoperonospora cubensis,Avoid overhead watering; use drip irrigation. Plant resistant varieties.,Spray Mancozeb 0.2% or Chlorothalonil 0.2%.
Cumin,Wilt,Fusarium oxysporum f.sp. cumini,Practice long crop rotation (4-5 years). Use disease-free seed. Deep summer ploughing.,Seed treatment with Thiram or Carbendazim.
Custard Apple (Sitaphal),Leaf Spot,Cylindrocladium spp.,Prune to improve aeration. Remove and burn fallen leaves. Maintain orchard hygiene.,Spray with Carbendazim (0.1%) or Mancozeb (0.25%).
Finger Millet (Ragi),Blast,Pyricularia grisea,Use resistant varieties. Avoid excessive nitrogen fertilizer. Remove weed hosts.,Seed treatment with Carbendazim. Spray with Mancozeb or Carbendazim.
Ginger,Rhizome Rot (Soft Rot),Pythium aphanidermatum,Use disease-free rhizomes. Ensure excellent drainage and solarize soil beds before planting.,Drenching with Metalaxyl + Mancozeb.
Grape,Black Rot,Guignardia bidwellii,Remove and destroy infected mummified berries and canes. Improve air circulation.,"Fungicides like Mancozeb, Myclobutanil, or Captan."
Grape,Black Measles (Esca),Phaeomoniella chlamydospora & other fungi,Prune out and destroy symptomatic wood well below the infection. Good sanitation is key.,No direct cure. Preventative pruning and wound sealing. Some trunk paints may help.
Grape,Leaf Blight (Isariopsis Leaf Spot),Pseudocercospora vitis,Improve air circulation through canopy management. Rake and destroy fallen leaves.,Spray with Mancozeb or Copper-based fungicides.
Grape,Powdery Mildew,Erysiphe necator,Spray a mixture of 1 tablespoon baking soda and 1/2 teaspoon liquid soap in a gallon of water.,Dusting with Sulphur or spraying Wettable Sulphur 0.2%.
Grape,Healthy,N/A,N/A,N/A
Green Gram (Moong),Yellow Mosaic Disease,Mungbean yellow mosaic virus,Use resistant varieties. Rogue out infected plants early. Control whitefly vector with yellow sticky traps.,Vector control using insecticides like Thiamethoxam or Imidacloprid.
Groundnut (Peanut),Tikka Disease (Leaf Spot),Cercospora & Phaeoisariopsis,Remove and destroy volunteer plants before sowing. Practice crop rotation.,Spray Mancozeb 1 kg/ha or Carbendazim 250 g/ha.
Groundnut (Peanut),Stem Rot,Sclerotium rolfsii,Practice deep ploughing to bury sclerotia. Improve soil drainage and avoid soil compaction.,Soil application of Trichoderma viride. Drenching with Tebuconazole.
Guava,Wilt Disease,Fusarium oxysporum f.sp. psidii,Maintain plant health with balanced nutrition. Apply organic manure enriched with Trichoderma viride.,Soil drenching with Carbendazim or Copper Oxychloride.
Guava,Anthracnose,Colletotrichum psidii,Prune affected twigs and branches. Improve air circulation. Remove mummified fruits.,Spray with Propiconazole or Copper Oxychloride.
Jackfruit,Rhizopus Fruit Rot,Rhizopus artocarpi,Harvest fruit carefully to avoid injuries. Remove and destroy infected fruits. Maintain field sanitation.,Pre-harvest spray with Copper Oxychloride or Mancozeb.
Jute,Stem Rot,Macrophomina phaseolina,Practice crop rotation with non-host crops like paddy. Ensure good drainage. Use certified seeds.,Seed treatment with Carbendazim. Spray with Mancozeb.
Mango,Anthracnose,Colletotrichum gloeosporioides,Prune out dead wood and remove fallen leaves. Apply a neem oil or copper spray preventatively before flowering.,Spray Mancozeb 0.2% or Carbendazim 0.1% before flowering and during fruit set.
Mango,Powdery Mildew,Oidium mangiferae,Prune trees to improve air circulation and sunlight penetration.,Spray with Wettable Sulphur 0.2% or Dinocap 0.1%.
Mustard,Alternaria Blight,Alternaria brassicae,Use certified disease-free seed. Maintain proper plant spacing. Remove and destroy infected plant debris.,Spray with Mancozeb or Iprodione at the first sign of disease.
Okra (Lady's Finger),Yellow Vein Mosaic,Begomovirus (Whitefly transmitted),Control whitefly vector with yellow sticky traps and neem oil sprays. Use resistant varieties.,Vector control using insecticides like Imidacloprid or Thiamethoxam.
Orange,Huanglongbing (Citrus Greening),Candidatus Liberibacter asiaticus,Remove infected trees immediately to reduce spread. Strict control of the Asian Citrus Psyllid vector is crucial.,No cure. Management focuses on vector control with insecticides like Imidacloprid and Thiamethoxam.
Papaya,Ring Spot Virus,Papaya ringspot virus (PRSV),Remove and destroy infected plants immediately. Control aphid vectors.,"No chemical cure for virus. Use insecticides (e.g., Dimethoate) for aphid control."
Peach,Bacterial Spot,Xanthomonas arboricola pv. pruni,Prune to improve air circulation. Avoid nitrogen-heavy fertilizer. Use resistant varieties.,Applications of copper-based bactericides during dormancy and early season.
Peach,Healthy,N/A,N/A,N/A
Pearl Millet (Bajra),Downy Mildew (Green Ear),Sclerospora graminicola,Rogue out infected plants. Use seeds from a disease-free plot. Deep summer ploughing.,Seed treatment with Metalaxyl. Spray with Metalaxyl + Mancozeb.
Pearl Millet (Bajra),Ergot,Claviceps fusiformis,Soak seeds in 10% salt solution to remove sclerotia. Deep ploughing to bury sclerotia.,Spray with Mancozeb or Ziram at the flowering stage.
Pigeon Pea (Arhar/Tur),Fusarium Wilt,Fusarium udum,Intercropping with sorghum can reduce incidence. Use resistant varieties.,Seed treatment with Trichoderma viride (bio-agent) or Thiram.
Pigeon Pea (Arhar/Tur),Sterility Mosaic Disease,Pigeonpea sterility mosaic virus,Use resistant varieties. Control the eriophyid mite vector. Rogue out infected plants.,Vector control by spraying with wettable sulphur or Dicofol.
Pomegranate,Bacterial Blight,Xanthomonas axonopodis pv. punicae,Prune affected plant parts during dry weather. Use disease-free planting material.,Spray with Streptocycline 500ppm + Copper Oxychloride 0.2%.
Potato,Early Blight,Alternaria solani,Practice crop rotation. Remove and destroy infected vines after harvest. Ensure balanced nutrition.,Spray with Mancozeb 0.2% or Chlorothalonil 0.2%.
Potato,Late Blight,Phytophthora infestans,Use certified disease-free tubers. Remove volunteer plants and debris. Avoid overhead irrigation.,Prophylactic spray of Mancozeb 0.2%. Curative spray of Metalaxyl + Mancozeb.
Potato,Healthy,N/A,N/A,N/A
Raspberry,Healthy,N/A,N/A,N/A
Rice,Blast,Magnaporthe oryzae,"Use resistant varieties (e.g., Co 47). Remove weed hosts from bunds. Avoid excessive nitrogen fertilizer.",Seed treatment with Carbendazim. Spray Carbendazim 500g/ha or Tricyclazole 300g/ha.
Rice,Bacterial Blight,Xanthomonas oryzae pv. oryzae,Use resistant varieties. Avoid clipping of seedling tips during transplanting. Balanced N fertilizer application.,Seed treatment with Streptocycline. Spray Copper Hydroxide.
Rice,Sheath Blight,Rhizoctonia solani,Manage nitrogen application to avoid dense canopy. Ensure proper spacing. Remove weed hosts.,Spray Hexaconazole 1 L/ha or Validamycin 1 L/ha.
Rice,Rice Tungro Disease,Rice tungro bacilliform virus & Rice tungro spherical virus,Use resistant varieties. Control the green leafhopper vector. Maintain a fallow period between crops.,Vector control with insecticides like Thiamethoxam or Buprofezin.
Rose,Black Spot,Diplocarpon rosae,Spray with a solution of neem oil. Prune affected canes and ensure good air circulation around the plant.,Spray with Chlorothalonil 0.2% or Carbendazim 0.1%.
Rubber,Abnormal Leaf Fall,Phytophthora meadii,Improve drainage. Avoid water stagnation. Remove and burn fallen leaves.,Prophylactic spraying of the canopy with 1% Bordeaux mixture before monsoon.
Sapota (Chikoo),Leaf Spot,Phaeophleospora indica,Prune crowded branches to improve air circulation. Collect and burn fallen infected leaves.,Spray with Mancozeb (0.25%) or Copper Oxychloride (0.3%).
Sesame (Til),Phyllody,Phytoplasma,Rogue out infected plants early. Control the leafhopper vector using yellow sticky traps.,Vector control using insecticides like Dimethoate or Imidacloprid.
Sorghum (Jowar),Grain Mold,"Curvularia lunata, Fusarium moniliforme",Harvest the crop immediately at physiological maturity. Use resistant varieties.,Spray of Mancozeb 1 kg/ha at 50% flowering.
Soybean,Healthy,N/A,N/A,N/A
Squash,Powdery Mildew,Podosphaera xanthii,Ensure good air circulation and sunlight. A spray of milk and water (1:9 ratio) can be preventative.,"Spray with Myclobutanil, Potassium Bicarbonate, or horticultural oil."
Strawberry,Leaf Scorch,Diplocarpon earlianum,"Remove and destroy old, infected leaves after harvest. Improve air circulation and sunlight exposure.",Spray with fungicides containing Captan or Myclobutanil.
Strawberry,Healthy,N/A,N/A,N/A
Sugarcane,Red Rot,Colletotrichum falcatum,Use disease-resistant varieties. Treat setts (seed cane) with hot water (52°C for 30 min) before planting.,Carbendazim or Thiophanate-methyl as a sett treatment.
Sugarcane,Grassy Shoot Disease,Phytoplasma,Use disease-free setts. Treat setts with hot water (50°C for 2 hours). Rogue out infected clumps.,No chemical cure. Control insect vectors if any are identified.
Sugarcane,Smut,Ustilago scitaminea,Remove and carefully bag smutted whips before they rupture. Use disease-resistant varieties. Hot water treatment of setts.,Sett treatment with Triadimenol or Tebuconazole.
Sunflower,Sclerotinia Head Rot,Sclerotinia sclerotiorum,Practice long crop rotations with non-host crops like cereals. Avoid excessive nitrogen fertilization.,Boscalid or Iprodione applied at the flowering stage.
Tapioca (Cassava),Cassava Mosaic Disease,Indian cassava mosaic virus (ICMV),Use disease-free planting material (setts). Remove and destroy infected plants.,No chemical cure. Control whitefly vector with Thiamethoxam.
Tea,Blister Blight,Exobasidium vexans,Maintain regular plucking intervals. Remove shade trees in highly susceptible areas during monsoon.,Spray Copper Oxychloride 0.2% with Nickel Chloride 0.1%.
Tea,Red Rust,Cephaleuros virescens,Improve drainage. Prune affected branches. Maintain balanced nutrition to improve plant vigor.,Spray with Copper Oxychloride.
Tomato,Bacterial Spot,Xanthomonas spp.,"Use disease-free seed, rotate crops for 1 year, and avoid overhead watering to keep foliage dry.",Seed treatment with Streptocycline. Spray Copper Oxychloride 0.25%.
Tomato,Early Blight,Alternaria solani,Remove lower infected leaves. Mulch around base of plants. Practice crop rotation.,Spray with Mancozeb 0.25% or Chlorothalonil.
Tomato,Late Blight,Phytophthora infestans,"Ensure good air circulation by staking and pruning. Water soil, not leaves. Remove infected plants immediately.",Preventative sprays of Chlorothalonil or Mancozeb. Use Metalaxyl + Mancozeb for established infection.
Tomato,Leaf Mold,Passalora fulva,Improve air circulation through staking and pruning. Avoid overhead watering. Use resistant varieties.,Spray with fungicides containing Chlorothalonil or Copper.
Tomato,Septoria Leaf Spot,Septoria lycopersici,Remove and destroy lower infected leaves. Mulch to prevent soil splash. Practice crop rotation.,Spray with Chlorothalonil or Mancozeb.
Tomato,Two-spotted Spider Mite,Tetranychus urticae,Spray leaves with forceful water jets to dislodge mites. Use neem oil or insecticidal soap.,"Use Acaricides/Miticides like Abamectin, Spiromesifen, or Bifenthrin."
Tomato,Target Spot,Corynespora cassiicola,Improve air circulation. Mulch under plants. Remove and destroy infected leaves.,Spray with fungicides containing Mancozeb or Chlorothalonil.
Tomato,Mosaic Virus,Tobacco mosaic virus (TMV) or Tomato mosaic virus (ToMV),Remove and destroy infected plants immediately. Disinfect tools and wash hands. Control aphid vectors.,No chemical cure. Focus on sanitation and vector control.
Tomato,Yellow Leaf Curl Virus,Tomato yellow leaf curl virus (TYLCV),Control whitefly vector with yellow sticky traps and reflective mulch. Use resistant hybrids.,No chemical cure. Control whiteflies with insecticides like Imidacloprid.
Tomato,Healthy,N/A,N/A,N/A
Turmeric,Leaf Spot,Colletotrichum capsici,Use healthy rhizomes for planting. Remove and destroy infected leaves.,Spray Mancozeb 0.25% or Carbendazim 0.1%.
Watermelon,Fusarium Wilt,Fusarium oxysporum f.sp. niveum,Use resistant varieties. Practice long crop rotation (5-7 years). Soil solarization can help.,No effective chemical cure once established. Seed treatment with Carbendazim.
Wheat,Rust (Stem/Leaf),"Puccinia graminis, Puccinia triticina",Remove infected leaves immediately. Improve air circulation by spacing plants appropriately. Use resistant varieties.,Spray with Mancozeb 1.5 kg/ha or Propiconazole 500 ml/ha.
